playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour,name_date
tomas-pekhart,Tomáš Pekhart,1. FC Nürnberg,Germany,26.05.1989,194.0,80.0,Center Forward,197.0,83.0,46.0,68.0,58.0,26.0,1.0,0.0,0.125,tomas-pekhart26.05.1989
vito-mannone,Vito Mannone,Arsenal FC,England,02.03.1988,187.0,80.0,Goalkeeper,102.0,47.0,24.0,31.0,0.0,2.0,0.0,0.0,0.0,vito-mannone02.03.1988
andy-johnson_2,Andy Johnson,Queens Park Rangers,England,10.02.1981,170.0,70.0,Center Forward,378.0,149.0,101.0,128.0,134.0,30.0,2.0,0.0,0.0,andy-johnson_210.02.1981
anton-ferdinand,Anton Ferdinand,Queens Park Rangers,England,18.02.1985,178.0,78.0,Center Back,317.0,120.0,68.0,129.0,5.0,31.0,0.0,0.0,0.375,anton-ferdinand18.02.1985
darren-bent,Darren Bent,Aston Villa,England,06.02.1984,180.0,73.0,Center Forward,465.0,177.0,118.0,170.0,190.0,16.0,0.0,0.0,1.0,darren-bent06.02.1984
liam-ridgewell,Liam Ridgewell,West Bromwich Albion,England,21.07.1984,177.0,64.0,Center Back,345.0,115.0,105.0,125.0,20.0,58.0,0.0,2.0,0.0,liam-ridgewell21.07.1984
matthew-etherington,Matthew Etherington,Stoke City,England,14.08.1981,178.0,67.0,Left Midfielder,414.0,163.0,100.0,151.0,35.0,29.0,1.0,1.0,0.125,matthew-etherington14.08.1981
michael-tonge,Michael Tonge,Leeds United,England,07.04.1983,183.0,77.0,Left Midfielder,389.0,165.0,89.0,135.0,29.0,51.0,0.0,0.0,0.125,michael-tonge07.04.1983
mike-pollitt,Mike Pollitt,Wigan Athletic,England,29.02.1972,193.0,93.0,Goalkeeper,205.0,55.0,50.0,100.0,0.0,5.0,0.0,3.0,0.25,mike-pollitt29.02.1972
mikele-leigertwood,Mikele Leigertwood,Reading FC,England,12.11.1982,186.0,72.0,,408.0,151.0,112.0,145.0,26.0,51.0,2.0,2.0,0.5,mikele-leigertwood12.11.1982
nicky-shorey,Nicky Shorey,Reading FC,England,19.02.1981,175.0,67.0,Left Fullback,433.0,183.0,103.0,147.0,14.0,25.0,0.0,2.0,0.0,nicky-shorey19.02.1981
phil-jagielka,Phil Jagielka,Everton FC,England,17.08.1982,180.0,83.0,Center Back,509.0,241.0,131.0,137.0,27.0,25.0,0.0,2.0,0.25,phil-jagielka17.08.1982
robert-green,Robert Green,Queens Park Rangers,England,19.01.1980,188.0,77.0,Goalkeeper,504.0,197.0,119.0,188.0,0.0,4.0,0.0,2.0,0.25,robert-green19.01.1980
stephen-kelly,Stephen Kelly,Fulham FC,England,06.09.1983,181.0,77.0,Right Fullback,290.0,111.0,70.0,109.0,2.0,22.0,0.0,1.0,0.25,stephen-kelly06.09.1983
steven-sidwell,Steven Sidwell,Fulham FC,England,14.12.1982,178.0,70.0,Center Midfielder,399.0,187.0,90.0,122.0,57.0,67.0,2.0,2.0,0.25,steven-sidwell14.12.1982
thomas-soerensen,Thomas Sørensen,Stoke City,England,12.06.1976,195.0,89.0,Goalkeeper,511.0,196.0,135.0,180.0,0.0,10.0,0.0,0.0,0.25,thomas-soerensen12.06.1976
artur-boruc,Artur Boruc,Southampton FC,England,20.02.1980,193.0,88.0,Goalkeeper,364.0,190.0,84.0,90.0,0.0,24.0,0.0,0.0,0.125,artur-boruc20.02.1980
kyle-naughton,Kyle Naughton,Tottenham Hotspur,England,11.11.1988,180.0,73.0,Right Fullback,217.0,97.0,52.0,68.0,8.0,27.0,0.0,0.0,0.75,kyle-naughton11.11.1988
tim-krul,Tim Krul,Newcastle United,England,03.04.1988,188.0,74.0,Goalkeeper,180.0,77.0,35.0,68.0,0.0,12.0,0.0,1.0,0.25,tim-krul03.04.1988
bobby-zamora,Bobby Zamora,Queens Park Rangers,England,16.01.1981,186.0,75.0,Center Forward,396.0,157.0,86.0,153.0,98.0,35.0,1.0,1.0,0.5,bobby-zamora16.01.1981
cameron-jerome,Cameron Jerome,Stoke City,England,14.08.1986,185.0,85.0,Center Forward,380.0,134.0,103.0,143.0,81.0,38.0,1.0,1.0,0.75,cameron-jerome14.08.1986
dean-whitehead,Dean Whitehead,Stoke City,England,12.01.1982,183.0,80.0,Attacking Midfielder,401.0,151.0,89.0,161.0,20.0,77.0,3.0,0.0,0.125,dean-whitehead12.01.1982
gary-cahill,Gary Cahill,Chelsea FC,England,19.12.1985,188.0,71.0,Center Back,360.0,153.0,76.0,131.0,31.0,43.0,0.0,4.0,0.25,gary-cahill19.12.1985
jason-roberts,Jason Roberts,Reading FC,England,25.01.1978,186.0,89.0,Center Forward,347.0,138.0,82.0,127.0,93.0,39.0,2.0,5.0,0.75,jason-roberts25.01.1978
jon-walters,Jon Walters,Stoke City,England,20.09.1983,183.0,79.0,,362.0,127.0,105.0,130.0,75.0,35.0,0.0,1.0,0.25,jon-walters20.09.1983
richard-wright,Richard Wright,Manchester City,England,05.11.1977,189.0,87.0,,217.0,92.0,53.0,72.0,0.0,1.0,0.0,0.0,0.375,richard-wright05.11.1977
tom-huddlestone,Tom Huddlestone,Tottenham Hotspur,England,28.12.1986,188.0,80.0,Defensive Midfielder,369.0,162.0,93.0,114.0,21.0,49.0,1.0,4.0,0.5,tom-huddlestone28.12.1986
tony-hibbert,Tony Hibbert,Everton FC,England,20.02.1981,172.0,70.0,Right Fullback,318.0,140.0,71.0,107.0,0.0,47.0,1.0,2.0,0.0,tony-hibbert20.02.1981
adam-hlousek,Adam Hloušek,1. FC Nürnberg,Germany,20.12.1988,188.0,76.0,Left Midfielder,131.0,46.0,34.0,51.0,13.0,21.0,0.0,0.0,0.0,adam-hlousek20.12.1988
adam-pinter,Ádám Pintér,Real Zaragoza,Spain,12.06.1988,190.0,76.0,Center Back,82.0,28.0,18.0,36.0,1.0,14.0,1.0,1.0,0.0,adam-pinter12.06.1988
adam-szalai,Ádám Szalai,1. FSV Mainz 05,Germany,09.12.1987,193.0,87.0,Center Forward,182.0,83.0,40.0,59.0,51.0,18.0,1.0,0.0,0.25,adam-szalai09.12.1987
adan, Adán,Real Madrid,Spain,13.05.1987,190.0,88.0,Goalkeeper,44.0,22.0,6.0,16.0,0.0,1.0,0.0,1.0,0.0,adan13.05.1987
adrian-colunga, Adrián Colunga,Getafe CF,Spain,17.11.1984,171.0,69.0,Center Forward,178.0,53.0,43.0,82.0,39.0,22.0,1.0,0.0,0.25,adrian-colunga17.11.1984
albelda, Albelda,Valencia CF,Spain,01.09.1977,181.0,77.0,Defensive Midfielder,561.0,292.0,139.0,130.0,11.0,197.0,3.0,6.0,0.25,albelda01.09.1977
alexis, Alexis,Getafe CF,Spain,04.08.1985,183.0,80.0,Center Back,255.0,96.0,57.0,102.0,16.0,77.0,7.0,4.0,0.0,alexis04.08.1985
almog-cohen,Almog Cohen,1. FC Nürnberg,Germany,01.09.1988,169.0,68.0,Defensive Midfielder,116.0,46.0,27.0,43.0,3.0,27.0,0.0,2.0,0.25,almog-cohen01.09.1988
andre-santos_2, André Santos,Deportivo La Coruña,Spain,02.03.1989,178.0,72.0,Center Midfielder,139.0,52.0,34.0,53.0,4.0,22.0,1.0,0.0,0.25,andre-santos_202.03.1989
andre-schuerrle,André Schürrle,Bayer Leverkusen,Germany,06.11.1990,184.0,74.0,Left Winger,262.0,137.0,55.0,70.0,85.0,11.0,0.0,1.0,0.0,andre-schuerrle06.11.1990
angel_4, Ángel,Levante UD,Spain,26.04.1987,172.0,68.0,Center Forward,177.0,64.0,44.0,69.0,43.0,18.0,1.0,0.0,0.5,angel_426.04.1987
aranzubia, Aranzubía,Deportivo La Coruña,Spain,18.09.1979,184.0,80.0,Goalkeeper,370.0,143.0,90.0,137.0,1.0,36.0,1.0,4.0,0.0,aranzubia18.09.1979
ballesteros, Ballesteros,Levante UD,Spain,04.09.1975,188.0,90.0,Center Back,509.0,188.0,136.0,185.0,10.0,128.0,10.0,5.0,0.25,ballesteros04.09.1975
barkero, Barkero,Levante UD,Spain,27.04.1979,180.0,71.0,Left Midfielder,283.0,105.0,56.0,122.0,56.0,37.0,1.0,2.0,0.25,barkero27.04.1979
bernd-leno,Bernd Leno,Bayer Leverkusen,Germany,04.03.1992,190.0,79.0,Goalkeeper,208.0,98.0,48.0,62.0,0.0,9.0,0.0,0.0,0.0,bernd-leno04.03.1992
bodipo, Bodipo,Deportivo La Coruña,Spain,25.10.1977,181.0,76.0,Center Forward,220.0,67.0,53.0,100.0,41.0,28.0,1.0,3.0,0.375,bodipo25.10.1977
carlos-tevez,Carlos Tévez,Manchester City,England,05.02.1984,171.0,75.0,Left Winger,466.0,283.0,84.0,99.0,178.0,61.0,1.0,4.0,0.5,carlos-tevez05.02.1984
castillo_8, Castillo,Athletic Bilbao,Spain,29.03.1986,182.0,71.0,Left Fullback,114.0,50.0,29.0,35.0,1.0,22.0,2.0,1.0,0.0,castillo_829.03.1986
charlison-benschop,Charlison Benschop,Stade Brest,France,21.08.1989,191.0,90.0,Attacking Midfielder,152.0,55.0,26.0,71.0,31.0,12.0,1.0,0.0,0.75,charlison-benschop21.08.1989
chinedu-obasi,Chinedu Obasi,FC Schalke 04,Germany,01.06.1986,188.0,79.0,Right Winger,161.0,70.0,44.0,47.0,33.0,22.0,0.0,1.0,1.0,chinedu-obasi01.06.1986
christian-lell,Christian Lell,Levante UD,Spain,29.08.1984,180.0,80.0,Right Fullback,318.0,159.0,72.0,87.0,8.0,51.0,3.0,2.0,0.25,christian-lell29.08.1984
christian-schulz,Christian Schulz,Hannover 96,Germany,01.04.1983,185.0,80.0,Center Back,425.0,200.0,79.0,146.0,26.0,74.0,3.0,0.0,0.125,christian-schulz01.04.1983
christoph-metzelder,Christoph Metzelder,FC Schalke 04,Germany,05.11.1980,194.0,92.0,Center Back,310.0,168.0,54.0,88.0,4.0,30.0,0.0,0.0,0.125,christoph-metzelder05.11.1980
dani-abalo, Dani Abalo,Celta Vigo,Spain,29.09.1987,174.0,68.0,Defensive Midfielder,169.0,68.0,50.0,51.0,18.0,22.0,1.0,0.0,0.125,dani-abalo29.09.1987
de-marcos, De Marcos,Athletic Bilbao,Spain,14.04.1989,180.0,76.0,Right Winger,206.0,83.0,53.0,70.0,27.0,38.0,0.0,1.0,0.125,de-marcos14.04.1989
diego-contento,Diego Contento,Bayern München,Germany,01.05.1990,177.0,74.0,Left Fullback,127.0,79.0,23.0,25.0,7.0,5.0,0.0,0.0,0.25,diego-contento01.05.1990
diego-perotti,Diego Perotti,Sevilla FC,Spain,26.07.1988,179.0,77.0,Right Midfielder,185.0,78.0,40.0,67.0,18.0,27.0,0.0,0.0,0.25,diego-perotti26.07.1988
diogo-salomao, Diogo Salomão,Deportivo La Coruña,Spain,14.09.1988,175.0,70.0,,79.0,45.0,11.0,23.0,11.0,6.0,0.0,0.0,0.5,diogo-salomao14.09.1988
ekiza, Ekiza,Athletic Bilbao,Spain,06.03.1988,180.0,73.0,Center Back,82.0,35.0,19.0,28.0,0.0,8.0,1.0,0.0,0.125,ekiza06.03.1988
eljero-elia,Eljero Elia,Werder Bremen,Germany,13.02.1987,176.0,77.0,Left Winger,296.0,119.0,76.0,101.0,36.0,28.0,1.0,0.0,0.75,eljero-elia13.02.1987
evaldo, Evaldo,Deportivo La Coruña,Spain,18.03.1982,183.0,80.0,Left Fullback,210.0,98.0,51.0,61.0,6.0,28.0,1.0,0.0,0.75,evaldo18.03.1982
fabian-giefer,Fabian Giefer,Fortuna Düsseldorf,Germany,17.05.1990,196.0,93.0,Goalkeeper,136.0,48.0,33.0,55.0,0.0,9.0,0.0,2.0,0.0,fabian-giefer17.05.1990
gabriel-tamas,Gabriel Tamaş,West Bromwich Albion,England,09.11.1983,188.0,79.0,Center Back,278.0,108.0,66.0,104.0,9.0,59.0,4.0,3.0,0.0,gabriel-tamas09.11.1983
havard-nordtveit,Håvard Nordtveit,Bor. Mönchengladbach,Germany,21.06.1990,188.0,85.0,Defensive Midfielder,184.0,72.0,46.0,66.0,7.0,17.0,1.0,0.0,0.0,havard-nordtveit21.06.1990
ibai, Ibai,Athletic Bilbao,Spain,11.11.1989,177.0,72.0,Left Winger,102.0,34.0,25.0,43.0,15.0,5.0,0.0,0.0,0.0,ibai11.11.1989
igor-martinez, Igor Martínez,Athletic Bilbao,Spain,19.07.1989,170.0,65.0,Attacking Midfielder,77.0,23.0,20.0,34.0,6.0,5.0,0.0,0.0,0.125,igor-martinez19.07.1989
inigo-perez, Iñigo Pérez,Athletic Bilbao,Spain,18.01.1988,178.0,74.0,Center Midfielder,84.0,37.0,16.0,31.0,2.0,17.0,0.0,0.0,0.0,inigo-perez18.01.1988
iturraspe_2, Iturraspe,Athletic Bilbao,Spain,08.03.1989,187.0,75.0,Defensive Midfielder,176.0,71.0,45.0,60.0,1.0,55.0,1.0,0.0,0.125,iturraspe_208.03.1989
ivan-rakitic,Ivan Rakitić,Sevilla FC,Spain,10.03.1988,184.0,75.0,Attacking Midfielder,390.0,202.0,84.0,104.0,70.0,41.0,2.0,0.0,0.125,ivan-rakitic10.03.1988
jaroslav-drobny,Jaroslav Drobný,Hamburger SV,Germany,18.10.1979,192.0,90.0,Goalkeeper,215.0,82.0,50.0,83.0,0.0,16.0,0.0,0.0,0.25,jaroslav-drobny18.10.1979
joel-matip,Joel Matip,FC Schalke 04,Germany,08.08.1991,193.0,89.0,Defensive Midfielder,226.0,114.0,44.0,68.0,26.0,23.0,1.0,1.0,0.625,joel-matip08.08.1991
jordi-alba, Jordi Alba,FC Barcelona,Spain,21.03.1989,170.0,69.0,Left Fullback,249.0,133.0,56.0,60.0,21.0,57.0,1.0,1.0,0.125,jordi-alba21.03.1989
jose-callejon, José Callejón,Real Madrid,Spain,11.02.1987,179.0,73.0,Center Forward,231.0,121.0,51.0,59.0,49.0,24.0,1.0,0.0,0.0,jose-callejon11.02.1987
jose-mari_5, José Mari,Real Zaragoza,Spain,06.12.1987,181.0,65.0,,47.0,16.0,11.0,20.0,3.0,15.0,2.0,0.0,0.25,jose-mari_506.12.1987
julian-baumgartlinger,Julian Baumgartlinger,1. FSV Mainz 05,Germany,02.01.1988,183.0,82.0,Defensive Midfielder,252.0,105.0,67.0,80.0,5.0,49.0,4.0,1.0,0.25,julian-baumgartlinger02.01.1988
julian-draxler,Julian Draxler,FC Schalke 04,Germany,20.09.1993,185.0,74.0,Attacking Midfielder,174.0,95.0,31.0,48.0,39.0,19.0,0.0,0.0,0.0,julian-draxler20.09.1993
klaas-jan-huntelaar,Klaas-Jan Huntelaar,FC Schalke 04,Germany,12.08.1983,186.0,78.0,Center Forward,449.0,249.0,86.0,114.0,277.0,43.0,2.0,2.0,0.125,klaas-jan-huntelaar12.08.1983
lafita, Lafita,Getafe CF,Spain,07.08.1984,188.0,75.0,Right Midfielder,264.0,83.0,69.0,112.0,34.0,42.0,0.0,1.0,0.125,lafita07.08.1984
lars-bender,Lars Bender,Bayer Leverkusen,Germany,27.04.1989,184.0,77.0,Defensive Midfielder,277.0,128.0,65.0,84.0,26.0,32.0,1.0,0.0,0.0,lars-bender27.04.1989
luka-modric,Luka Modrić,Real Madrid,Spain,09.09.1985,174.0,65.0,Attacking Midfielder,352.0,189.0,80.0,83.0,34.0,41.0,0.0,0.0,0.0,luka-modric09.09.1985
manu-del-moral, Manu del Moral,Sevilla FC,Spain,25.02.1984,185.0,77.0,Center Forward,283.0,103.0,70.0,110.0,53.0,26.0,0.0,2.0,0.125,manu-del-moral25.02.1984
manuel-friedrich,Manuel Friedrich,Bayer Leverkusen,Germany,13.09.1979,189.0,87.0,Center Back,421.0,194.0,99.0,128.0,35.0,56.0,1.0,0.0,0.0,manuel-friedrich13.09.1979
marcel-schaefer,Marcel Schäfer,VfL Wolfsburg,Germany,07.06.1984,184.0,75.0,Left Fullback,366.0,163.0,79.0,124.0,22.0,23.0,1.0,0.0,0.25,marcel-schaefer07.06.1984
marcell-jansen,Marcell Jansen,Hamburger SV,Germany,04.11.1985,191.0,89.0,Left Midfielder,327.0,145.0,76.0,106.0,30.0,32.0,0.0,0.0,0.0,marcell-jansen04.11.1985
marco-hoeger,Marco Höger,FC Schalke 04,Germany,16.09.1989,186.0,78.0,Defensive Midfielder,134.0,71.0,28.0,35.0,16.0,23.0,0.0,0.0,0.0,marco-hoeger16.09.1989
mario-goetze,Mario Götze,Borussia Dortmund,Germany,03.06.1992,176.0,64.0,Attacking Midfielder,213.0,140.0,41.0,32.0,67.0,10.0,0.0,1.0,0.25,mario-goetze03.06.1992
mario-mandzukic,Mario Mandžukić,Bayern München,Germany,21.05.1986,187.0,84.0,Center Forward,282.0,162.0,53.0,67.0,122.0,52.0,1.0,1.0,0.25,mario-mandzukic21.05.1986
michael-krohn-dehli,Michael Krohn-Dehli,Celta Vigo,Spain,06.06.1983,170.0,70.0,Attacking Midfielder,312.0,125.0,73.0,114.0,39.0,29.0,1.0,1.0,0.25,michael-krohn-dehli06.06.1983
michel_15, Míchel,Levante UD,Spain,29.07.1988,180.0,73.0,Center Midfielder,134.0,60.0,34.0,40.0,20.0,26.0,1.0,1.0,0.25,michel_1529.07.1988
miguel-torres, Miguel Torres,Getafe CF,Spain,28.01.1986,184.0,76.0,Left Fullback,202.0,96.0,37.0,69.0,1.0,41.0,2.0,1.0,0.25,miguel-torres28.01.1986
mladen-petric,Mladen Petrić,Fulham FC,England,01.01.1981,185.0,81.0,Center Forward,365.0,172.0,84.0,109.0,147.0,21.0,0.0,1.0,0.0,mladen-petric01.01.1981
moya, Moyá,Getafe CF,Spain,02.04.1984,189.0,82.0,Goalkeeper,219.0,78.0,55.0,86.0,0.0,11.0,0.0,2.0,0.125,moya02.04.1984
nelson-oliveira_2, Nélson Oliveira,Deportivo La Coruña,Spain,08.08.1991,184.0,75.0,Center Forward,135.0,43.0,40.0,52.0,25.0,20.0,1.0,1.0,0.375,nelson-oliveira_208.08.1991
nikolce-noveski,Nikolče Noveski,1. FSV Mainz 05,Germany,28.04.1979,190.0,87.0,Center Back,497.0,192.0,125.0,180.0,29.0,67.0,2.0,2.0,0.25,nikolce-noveski28.04.1979
nikos-karabelas,Nikos Karabelas,Levante UD,Spain,20.12.1984,180.0,72.0,Left Fullback,156.0,69.0,40.0,47.0,1.0,37.0,2.0,1.0,0.0,nikos-karabelas20.12.1984
oemer-toprak,Ömer Toprak,Bayer Leverkusen,Germany,21.07.1989,186.0,83.0,Center Back,229.0,125.0,35.0,69.0,11.0,39.0,1.0,2.0,0.25,oemer-toprak21.07.1989
oscar-serrano, Óscar Serrano,Levante UD,Spain,30.09.1981,180.0,75.0,Left Midfielder,251.0,84.0,76.0,91.0,17.0,64.0,3.0,3.0,0.125,oscar-serrano30.09.1981
pallardo, Pallardó,Levante UD,Spain,05.06.1986,173.0,73.0,Defensive Midfielder,158.0,71.0,32.0,55.0,3.0,40.0,3.0,1.0,0.25,pallardo05.06.1986
parejo_2, Parejo,Valencia CF,Spain,16.04.1989,180.0,74.0,Defensive Midfielder,237.0,105.0,54.0,78.0,23.0,52.0,1.0,0.0,0.375,parejo_216.04.1989
patrick-helmes,Patrick Helmes,VfL Wolfsburg,Germany,01.03.1984,182.0,81.0,Center Forward,282.0,127.0,69.0,86.0,140.0,21.0,0.0,1.0,0.0,patrick-helmes01.03.1984
pedro-lopez, Pedro López,Levante UD,Spain,01.11.1983,174.0,72.0,Right Fullback,221.0,78.0,57.0,86.0,5.0,43.0,4.0,3.0,0.25,pedro-lopez01.11.1983
pedro-rios, Pedro Ríos,Levante UD,Spain,12.12.1981,175.0,72.0,Right Winger,162.0,57.0,41.0,64.0,23.0,30.0,0.0,0.0,0.5,pedro-rios12.12.1981
philipp-lahm,Philipp Lahm,Bayern München,Germany,11.11.1983,170.0,66.0,Left Fullback,615.0,397.0,108.0,110.0,20.0,46.0,0.0,0.0,0.25,philipp-lahm11.11.1983
piscu, Piscu,Wigan Athletic,England,25.02.1987,184.0,77.0,Center Back,59.0,19.0,12.0,28.0,1.0,12.0,0.0,1.0,0.0,piscu25.02.1987
rafa_2, Rafa,Getafe CF,Spain,09.04.1985,183.0,72.0,Left Fullback,162.0,52.0,41.0,69.0,4.0,46.0,2.0,1.0,0.375,rafa_209.04.1985
ramalho_4, Ramalho,Athletic Bilbao,Spain,10.06.1993,181.0,68.0,Center Back,43.0,19.0,12.0,12.0,0.0,2.0,1.0,0.0,0.625,ramalho_410.06.1993
raphael-varane,Raphaël Varane,Real Madrid,Spain,25.04.1993,191.0,78.0,Center Back,106.0,65.0,19.0,22.0,9.0,5.0,0.0,0.0,0.5,raphael-varane25.04.1993
raul_10, Raúl,Athletic Bilbao,Spain,13.03.1988,196.0,86.0,Goalkeeper,20.0,5.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0,raul_1013.03.1988
ricardo-costa, Ricardo Costa,Valencia CF,Spain,16.05.1981,183.0,80.0,Center Back,246.0,102.0,64.0,80.0,21.0,50.0,7.0,4.0,0.25,ricardo-costa16.05.1981
ruben-garcia_3, Rubén García,Levante UD,Spain,14.07.1993,171.0,72.0,Right Midfielder,81.0,33.0,18.0,30.0,7.0,14.0,0.0,0.0,0.75,ruben-garcia_314.07.1993
san-jose_2, San José,Athletic Bilbao,Spain,30.05.1989,186.0,77.0,Center Back,180.0,84.0,37.0,59.0,20.0,44.0,0.0,1.0,0.0,san-jose_230.05.1989
sascha-riether,Sascha Riether,Fulham FC,England,23.03.1983,174.0,70.0,Defensive Midfielder,417.0,169.0,89.0,159.0,13.0,43.0,0.0,0.0,0.25,sascha-riether23.03.1983
sidney-sam,Sidney Sam,Bayer Leverkusen,Germany,31.01.1988,174.0,71.0,Attacking Midfielder,251.0,119.0,64.0,68.0,61.0,29.0,1.0,0.0,0.25,sidney-sam31.01.1988
simon-kjaer,Simon Kjær,VfL Wolfsburg,Germany,26.03.1989,190.0,82.0,Center Back,244.0,107.0,63.0,74.0,10.0,44.0,1.0,1.0,0.0,simon-kjaer26.03.1989
sokratis-papastathopoulos,Sokratis Papastathopoulos,Werder Bremen,Germany,09.06.1988,185.0,82.0,Center Back,260.0,128.0,60.0,72.0,8.0,62.0,7.0,1.0,0.25,sokratis-papastathopoulos09.06.1988
susaeta_3, Susaeta,Athletic Bilbao,Spain,14.12.1987,179.0,68.0,Right Winger,293.0,116.0,70.0,107.0,42.0,40.0,2.0,0.0,0.0,susaeta_314.12.1987
tomer-hemed,Tomer Hemed,RCD Mallorca,Spain,02.05.1987,183.0,81.0,Center Forward,112.0,34.0,27.0,51.0,32.0,9.0,0.0,0.0,0.5,tomer-hemed02.05.1987
toni_12, Toni,Celta Vigo,Spain,04.04.1990,175.0,69.0,Left Midfielder,88.0,34.0,20.0,34.0,5.0,13.0,0.0,0.0,0.25,toni_1204.04.1990
toquero, Toquero,Athletic Bilbao,Spain,09.08.1984,182.0,79.0,Center Forward,212.0,88.0,48.0,76.0,28.0,32.0,0.0,0.0,0.125,toquero09.08.1984
vaclav-pilar,Václav Pilař,VfL Wolfsburg,Germany,13.10.1988,170.0,69.0,Right Winger,92.0,44.0,24.0,24.0,16.0,11.0,0.0,0.0,0.125,vaclav-pilar13.10.1988
valera, Valera,Getafe CF,Spain,21.12.1984,184.0,76.0,Right Fullback,216.0,67.0,54.0,95.0,10.0,45.0,2.0,0.0,0.25,valera21.12.1984
yann-mvila,Yann M'Vila,Stade Rennes,France,26.06.1990,169.0,56.0,Defensive Midfielder,203.0,91.0,52.0,60.0,4.0,29.0,1.0,1.0,0.5,yann-mvila26.06.1990
yossi-benayoun,Yossi Benayoun,West Ham United,England,05.05.1980,178.0,70.0,Attacking Midfielder,456.0,201.0,105.0,150.0,88.0,31.0,1.0,0.0,0.25,yossi-benayoun05.05.1980
ze-castro, Zé Castro,Deportivo La Coruña,Spain,13.01.1983,183.0,76.0,Center Back,169.0,77.0,31.0,61.0,3.0,28.0,1.0,1.0,0.25,ze-castro13.01.1983
adam-campbell,Adam Campbell,Newcastle United,England,01.01.1995,168.0,,,20.0,6.0,5.0,9.0,2.0,1.0,0.0,0.0,0.0,adam-campbell01.01.1995
danny-wilson_2,Danny Wilson,Bristol City,England,27.12.1991,187.0,,Center Back,96.0,36.0,25.0,35.0,5.0,5.0,1.0,0.0,0.0,danny-wilson_227.12.1991
glenn-loovens,Glenn Loovens,Real Zaragoza,Spain,22.09.1983,190.0,83.0,Center Back,287.0,136.0,62.0,89.0,11.0,51.0,3.0,1.0,0.0,glenn-loovens22.09.1983
john-ruddy,John Ruddy,Norwich City,England,24.10.1986,193.0,97.0,Goalkeeper,175.0,62.0,55.0,58.0,0.0,5.0,0.0,1.0,0.0,john-ruddy24.10.1986
juanma-ortiz, Juanma Ortiz,Granada CF,Spain,01.03.1982,179.0,70.0,Right Midfielder,245.0,85.0,55.0,105.0,19.0,62.0,4.0,1.0,0.25,juanma-ortiz01.03.1982
ricardo-vaz-te, Ricardo Vaz Tê,West Ham United,England,01.10.1986,188.0,79.0,Left Winger,187.0,64.0,46.0,77.0,42.0,13.0,0.0,0.0,0.625,ricardo-vaz-te01.10.1986
robert-mak,Róbert Mak,1. FC Nürnberg,Germany,08.03.1991,179.0,75.0,Right Winger,109.0,34.0,27.0,48.0,17.0,9.0,0.0,0.0,0.125,robert-mak08.03.1991
teemu-pukki,Teemu Pukki,FC Schalke 04,Germany,29.03.1990,180.0,78.0,Center Forward,162.0,77.0,28.0,57.0,44.0,7.0,0.0,0.0,0.0,teemu-pukki29.03.1990
jannik-vestergaard,Jannik Vestergaard,1899 Hoffenheim,Germany,03.08.1992,197.0,96.0,Center Back,116.0,46.0,34.0,36.0,10.0,20.0,0.0,0.0,0.0,jannik-vestergaard03.08.1992
rui-fonte, Rui Fonte,Espanyol Barcelona,Spain,23.04.1990,181.0,73.0,Center Forward,85.0,26.0,23.0,36.0,8.0,11.0,0.0,0.0,0.5,rui-fonte23.04.1990
adam-federici,Adam Federici,Reading FC,England,31.01.1985,188.0,90.0,Goalkeeper,206.0,83.0,54.0,69.0,1.0,4.0,0.0,0.0,0.0,adam-federici31.01.1985
adel-taarabt,Adel Taarabt,Queens Park Rangers,England,24.05.1989,180.0,78.0,Left Midfielder,209.0,67.0,56.0,86.0,41.0,23.0,1.0,0.0,0.25,adel-taarabt24.05.1989
alex-nimely-tchuimeni,Alex Nimely-Tchuimeni,Manchester City,England,11.05.1991,180.0,72.0,Center Forward,34.0,6.0,15.0,13.0,2.0,3.0,0.0,0.0,0.875,alex-nimely-tchuimeni11.05.1991
andy-carroll,Andy Carroll,West Ham United,England,06.01.1989,191.0,76.0,,213.0,86.0,48.0,79.0,58.0,29.0,0.0,2.0,0.25,andy-carroll06.01.1989
antonio-valencia_2,Antonio Valencia,Manchester United,England,04.08.1985,175.0,70.0,Right Winger,344.0,171.0,68.0,105.0,36.0,48.0,3.0,3.0,0.75,antonio-valencia_204.08.1985
armand-traore,Armand Traoré,Queens Park Rangers,England,08.10.1989,185.0,82.0,Left Fullback,148.0,48.0,40.0,60.0,3.0,10.0,1.0,0.0,0.625,armand-traore08.10.1989
asmir-begovic,Asmir Begović,Stoke City,England,20.06.1987,198.0,83.0,Goalkeeper,192.0,68.0,52.0,72.0,1.0,11.0,0.0,1.0,0.125,asmir-begovic20.06.1987
brad-friedel,Brad Friedel,Tottenham Hotspur,England,18.05.1971,193.0,91.0,Goalkeeper,582.0,247.0,151.0,184.0,1.0,7.0,0.0,1.0,0.25,brad-friedel18.05.1971
brad-jones,Brad Jones,Liverpool FC,England,19.03.1982,193.0,79.0,Goalkeeper,124.0,43.0,36.0,45.0,0.0,4.0,0.0,2.0,0.0,brad-jones19.03.1982
