playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,skin_colour
nicky-shorey,Nicky Shorey,Reading FC,England,19.02.1981,175.0,67.0,Left Fullback,433.0,183.0,103.0,147.0,14.0,25.0,0.0,2.0,0.0
phil-jagielka,Phil Jagielka,Everton FC,England,17.08.1982,180.0,83.0,Center Back,509.0,241.0,131.0,137.0,27.0,25.0,0.0,2.0,0.25
robert-green,Robert Green,Queens Park Rangers,England,19.01.1980,188.0,77.0,Goalkeeper,504.0,197.0,119.0,188.0,0.0,4.0,0.0,2.0,0.25
stephen-kelly,Stephen Kelly,Fulham FC,England,06.09.1983,181.0,77.0,Right Fullback,290.0,111.0,70.0,109.0,2.0,22.0,0.0,1.0,0.25
steven-sidwell,Steven Sidwell,Fulham FC,England,14.12.1982,178.0,70.0,Center Midfielder,399.0,187.0,90.0,122.0,57.0,67.0,2.0,2.0,0.25
thomas-soerensen,Thomas Sørensen,Stoke City,England,12.06.1976,195.0,89.0,Goalkeeper,511.0,196.0,135.0,180.0,0.0,10.0,0.0,0.0,0.25
artur-boruc,Artur Boruc,Southampton FC,England,20.02.1980,193.0,88.0,Goalkeeper,364.0,190.0,84.0,90.0,0.0,24.0,0.0,0.0,0.125
kyle-naughton,Kyle Naughton,Tottenham Hotspur,England,11.11.1988,180.0,73.0,Right Fullback,217.0,97.0,52.0,68.0,8.0,27.0,0.0,0.0,0.75
tim-krul,Tim Krul,Newcastle United,England,03.04.1988,188.0,74.0,Goalkeeper,180.0,77.0,35.0,68.0,0.0,12.0,0.0,1.0,0.25
bobby-zamora,Bobby Zamora,Queens Park Rangers,England,16.01.1981,186.0,75.0,Center Forward,396.0,157.0,86.0,153.0,98.0,35.0,1.0,1.0,0.5
cameron-jerome,Cameron Jerome,Stoke City,England,14.08.1986,185.0,85.0,Center Forward,380.0,134.0,103.0,143.0,81.0,38.0,1.0,1.0,0.75
dean-whitehead,Dean Whitehead,Stoke City,England,12.01.1982,183.0,80.0,Attacking Midfielder,401.0,151.0,89.0,161.0,20.0,77.0,3.0,0.0,0.125
gary-cahill,Gary Cahill,Chelsea FC,England,19.12.1985,188.0,71.0,Center Back,360.0,153.0,76.0,131.0,31.0,43.0,0.0,4.0,0.25
jason-roberts,Jason Roberts,Reading FC,England,25.01.1978,186.0,89.0,Center Forward,347.0,138.0,82.0,127.0,93.0,39.0,2.0,5.0,0.75
tom-huddlestone,Tom Huddlestone,Tottenham Hotspur,England,28.12.1986,188.0,80.0,Defensive Midfielder,369.0,162.0,93.0,114.0,21.0,49.0,1.0,4.0,0.5
tony-hibbert,Tony Hibbert,Everton FC,England,20.02.1981,172.0,70.0,Right Fullback,318.0,140.0,71.0,107.0,0.0,47.0,1.0,2.0,0.0
adam-hlousek,Adam Hloušek,1. FC Nürnberg,Germany,20.12.1988,188.0,76.0,Left Midfielder,131.0,46.0,34.0,51.0,13.0,21.0,0.0,0.0,0.0
adam-pinter,Ádám Pintér,Real Zaragoza,Spain,12.06.1988,190.0,76.0,Center Back,82.0,28.0,18.0,36.0,1.0,14.0,1.0,1.0,0.0
adam-szalai,Ádám Szalai,1. FSV Mainz 05,Germany,09.12.1987,193.0,87.0,Center Forward,182.0,83.0,40.0,59.0,51.0,18.0,1.0,0.0,0.25
adan, Adán,Real Madrid,Spain,13.05.1987,190.0,88.0,Goalkeeper,44.0,22.0,6.0,16.0,0.0,1.0,0.0,1.0,0.0
adrian-colunga, Adrián Colunga,Getafe CF,Spain,17.11.1984,171.0,69.0,Center Forward,178.0,53.0,43.0,82.0,39.0,22.0,1.0,0.0,0.25
albelda, Albelda,Valencia CF,Spain,01.09.1977,181.0,77.0,Defensive Midfielder,561.0,292.0,139.0,130.0,11.0,197.0,3.0,6.0,0.25
alexis, Alexis,Getafe CF,Spain,04.08.1985,183.0,80.0,Center Back,255.0,96.0,57.0,102.0,16.0,77.0,7.0,4.0,0.0
almog-cohen,Almog Cohen,1. FC Nürnberg,Germany,01.09.1988,169.0,68.0,Defensive Midfielder,116.0,46.0,27.0,43.0,3.0,27.0,0.0,2.0,0.25
andre-schuerrle,André Schürrle,Bayer Leverkusen,Germany,06.11.1990,184.0,74.0,Left Winger,262.0,137.0,55.0,70.0,85.0,11.0,0.0,1.0,0.0
angel_4, Ángel,Levante UD,Spain,26.04.1987,172.0,68.0,Center Forward,566.0,221.0,137.0,208.0,52.0,105.0,6.0,2.0,0.5
aranzubia, Aranzubía,Deportivo La Coruña,Spain,18.09.1979,184.0,80.0,Goalkeeper,370.0,143.0,90.0,137.0,1.0,36.0,1.0,4.0,0.0
ballesteros, Ballesteros,Levante UD,Spain,04.09.1975,188.0,90.0,Center Back,509.0,188.0,136.0,185.0,10.0,128.0,10.0,5.0,0.25
barkero, Barkero,Levante UD,Spain,27.04.1979,180.0,71.0,Left Midfielder,283.0,105.0,56.0,122.0,56.0,37.0,1.0,2.0,0.25
bernd-leno,Bernd Leno,Bayer Leverkusen,Germany,04.03.1992,190.0,79.0,Goalkeeper,208.0,98.0,48.0,62.0,0.0,9.0,0.0,0.0,0.0
bodipo, Bodipo,Deportivo La Coruña,Spain,25.10.1977,181.0,76.0,Center Forward,220.0,67.0,53.0,100.0,41.0,28.0,1.0,3.0,0.375
carlos-tevez,Carlos Tévez,Manchester City,England,05.02.1984,171.0,75.0,Left Winger,466.0,283.0,84.0,99.0,178.0,61.0,1.0,4.0,0.5
castillo_8, Castillo,Athletic Bilbao,Spain,29.03.1986,182.0,71.0,Left Fullback,114.0,50.0,29.0,35.0,1.0,22.0,2.0,1.0,0.0
charlison-benschop,Charlison Benschop,Stade Brest,France,21.08.1989,191.0,90.0,Attacking Midfielder,152.0,55.0,26.0,71.0,31.0,12.0,1.0,0.0,0.75
chinedu-obasi,Chinedu Obasi,FC Schalke 04,Germany,01.06.1986,188.0,79.0,Right Winger,161.0,70.0,44.0,47.0,33.0,22.0,0.0,1.0,1.0
christian-lell,Christian Lell,Levante UD,Spain,29.08.1984,180.0,80.0,Right Fullback,318.0,159.0,72.0,87.0,8.0,51.0,3.0,2.0,0.25
christian-schulz,Christian Schulz,Hannover 96,Germany,01.04.1983,185.0,80.0,Center Back,425.0,200.0,79.0,146.0,26.0,74.0,3.0,0.0,0.125
christoph-metzelder,Christoph Metzelder,FC Schalke 04,Germany,05.11.1980,194.0,92.0,Center Back,310.0,168.0,54.0,88.0,4.0,30.0,0.0,0.0,0.125
dani-abalo, Dani Abalo,Celta Vigo,Spain,29.09.1987,174.0,68.0,Defensive Midfielder,169.0,68.0,50.0,51.0,18.0,22.0,1.0,0.0,0.125
de-marcos, De Marcos,Athletic Bilbao,Spain,14.04.1989,180.0,76.0,Right Winger,206.0,83.0,53.0,70.0,27.0,38.0,0.0,1.0,0.125
diego-contento,Diego Contento,Bayern München,Germany,01.05.1990,177.0,74.0,Left Fullback,127.0,79.0,23.0,25.0,7.0,5.0,0.0,0.0,0.25
diego-perotti,Diego Perotti,Sevilla FC,Spain,26.07.1988,179.0,77.0,Right Midfielder,185.0,78.0,40.0,67.0,18.0,27.0,0.0,0.0,0.25
ekiza, Ekiza,Athletic Bilbao,Spain,06.03.1988,180.0,73.0,Center Back,82.0,35.0,19.0,28.0,0.0,8.0,1.0,0.0,0.125
eljero-elia,Eljero Elia,Werder Bremen,Germany,13.02.1987,176.0,77.0,Left Winger,296.0,119.0,76.0,101.0,36.0,28.0,1.0,0.0,0.75
evaldo, Evaldo,Deportivo La Coruña,Spain,18.03.1982,183.0,80.0,Left Fullback,210.0,98.0,51.0,61.0,6.0,28.0,1.0,0.0,0.75
fabian-giefer,Fabian Giefer,Fortuna Düsseldorf,Germany,17.05.1990,196.0,93.0,Goalkeeper,136.0,48.0,33.0,55.0,0.0,9.0,0.0,2.0,0.0
gabriel-tamas,Gabriel Tama?,West Bromwich Albion,England,09.11.1983,188.0,79.0,Center Back,278.0,108.0,66.0,104.0,9.0,59.0,4.0,3.0,0.0
havard-nordtveit,Håvard Nordtveit,Bor. Mönchengladbach,Germany,21.06.1990,188.0,85.0,Defensive Midfielder,184.0,72.0,46.0,66.0,7.0,17.0,1.0,0.0,0.0
ibai, Ibai,Athletic Bilbao,Spain,11.11.1989,177.0,72.0,Left Winger,102.0,34.0,25.0,43.0,15.0,5.0,0.0,0.0,0.0
igor-martinez, Igor Martínez,Athletic Bilbao,Spain,19.07.1989,170.0,65.0,Attacking Midfielder,77.0,23.0,20.0,34.0,6.0,5.0,0.0,0.0,0.125
inigo-perez, Iñigo Pérez,Athletic Bilbao,Spain,18.01.1988,178.0,74.0,Center Midfielder,84.0,37.0,16.0,31.0,2.0,17.0,0.0,0.0,0.0
iturraspe_2, Iturraspe,Athletic Bilbao,Spain,08.03.1989,187.0,75.0,Defensive Midfielder,176.0,71.0,45.0,60.0,1.0,55.0,1.0,0.0,0.125
ivan-rakitic,Ivan Rakiti?,Sevilla FC,Spain,10.03.1988,184.0,75.0,Attacking Midfielder,390.0,202.0,84.0,104.0,70.0,41.0,2.0,0.0,0.125
jaroslav-drobny,Jaroslav Drobný,Hamburger SV,Germany,18.10.1979,192.0,90.0,Goalkeeper,215.0,82.0,50.0,83.0,0.0,16.0,0.0,0.0,0.25
joel-matip,Joel Matip,FC Schalke 04,Germany,08.08.1991,193.0,89.0,Defensive Midfielder,226.0,114.0,44.0,68.0,26.0,23.0,1.0,1.0,0.625
jordi-alba, Jordi Alba,FC Barcelona,Spain,21.03.1989,170.0,69.0,Left Fullback,249.0,133.0,56.0,60.0,21.0,57.0,1.0,1.0,0.125
jose-callejon, José Callejón,Real Madrid,Spain,11.02.1987,179.0,73.0,Center Forward,231.0,121.0,51.0,59.0,49.0,24.0,1.0,0.0,0.0
julian-baumgartlinger,Julian Baumgartlinger,1. FSV Mainz 05,Germany,02.01.1988,183.0,82.0,Defensive Midfielder,252.0,105.0,67.0,80.0,5.0,49.0,4.0,1.0,0.25
julian-draxler,Julian Draxler,FC Schalke 04,Germany,20.09.1993,185.0,74.0,Attacking Midfielder,174.0,95.0,31.0,48.0,39.0,19.0,0.0,0.0,0.0
klaas-jan-huntelaar,Klaas-Jan Huntelaar,FC Schalke 04,Germany,12.08.1983,186.0,78.0,Center Forward,449.0,249.0,86.0,114.0,277.0,43.0,2.0,2.0,0.125
lafita, Lafita,Getafe CF,Spain,07.08.1984,188.0,75.0,Right Midfielder,264.0,83.0,69.0,112.0,34.0,42.0,0.0,1.0,0.125
lars-bender,Lars Bender,Bayer Leverkusen,Germany,27.04.1989,184.0,77.0,Defensive Midfielder,277.0,128.0,65.0,84.0,26.0,32.0,1.0,0.0,0.0
luka-modric,Luka Modri?,Real Madrid,Spain,09.09.1985,174.0,65.0,Attacking Midfielder,352.0,189.0,80.0,83.0,34.0,41.0,0.0,0.0,0.0
manu-del-moral, Manu del Moral,Sevilla FC,Spain,25.02.1984,185.0,77.0,Center Forward,283.0,103.0,70.0,110.0,53.0,26.0,0.0,2.0,0.125
manuel-friedrich,Manuel Friedrich,Bayer Leverkusen,Germany,13.09.1979,189.0,87.0,Center Back,421.0,194.0,99.0,128.0,35.0,56.0,1.0,0.0,0.0
marcel-schaefer,Marcel Schäfer,VfL Wolfsburg,Germany,07.06.1984,184.0,75.0,Left Fullback,366.0,163.0,79.0,124.0,22.0,23.0,1.0,0.0,0.25
marcell-jansen,Marcell Jansen,Hamburger SV,Germany,04.11.1985,191.0,89.0,Left Midfielder,327.0,145.0,76.0,106.0,30.0,32.0,0.0,0.0,0.0
marco-hoeger,Marco Höger,FC Schalke 04,Germany,16.09.1989,186.0,78.0,Defensive Midfielder,134.0,71.0,28.0,35.0,16.0,23.0,0.0,0.0,0.0
mario-goetze,Mario Götze,Borussia Dortmund,Germany,03.06.1992,176.0,64.0,Attacking Midfielder,213.0,140.0,41.0,32.0,67.0,10.0,0.0,1.0,0.25
mario-mandzukic,Mario Mandžuki?,Bayern München,Germany,21.05.1986,187.0,84.0,Center Forward,282.0,162.0,53.0,67.0,122.0,52.0,1.0,1.0,0.25
michael-krohn-dehli,Michael Krohn-Dehli,Celta Vigo,Spain,06.06.1983,170.0,70.0,Attacking Midfielder,312.0,125.0,73.0,114.0,39.0,29.0,1.0,1.0,0.25
michel_15, Míchel,Levante UD,Spain,29.07.1988,180.0,73.0,Center Midfielder,264.0,108.0,58.0,98.0,21.0,68.0,2.0,4.0,0.25
miguel-torres, Miguel Torres,Getafe CF,Spain,28.01.1986,184.0,76.0,Left Fullback,202.0,96.0,37.0,69.0,1.0,41.0,2.0,1.0,0.25
mladen-petric,Mladen Petri?,Fulham FC,England,01.01.1981,185.0,81.0,Center Forward,365.0,172.0,84.0,109.0,147.0,21.0,0.0,1.0,0.0
moya, Moyá,Getafe CF,Spain,02.04.1984,189.0,82.0,Goalkeeper,219.0,78.0,55.0,86.0,0.0,11.0,0.0,2.0,0.125
nelson-oliveira_2, Nélson Oliveira,Deportivo La Coruña,Spain,08.08.1991,184.0,75.0,Center Forward,135.0,43.0,40.0,52.0,25.0,20.0,1.0,1.0,0.375
nikolce-noveski,Nikol?e Noveski,1. FSV Mainz 05,Germany,28.04.1979,190.0,87.0,Center Back,497.0,192.0,125.0,180.0,29.0,67.0,2.0,2.0,0.25
nikos-karabelas,Nikos Karabelas,Levante UD,Spain,20.12.1984,180.0,72.0,Left Fullback,156.0,69.0,40.0,47.0,1.0,37.0,2.0,1.0,0.0
oemer-toprak,Ömer Toprak,Bayer Leverkusen,Germany,21.07.1989,186.0,83.0,Center Back,229.0,125.0,35.0,69.0,11.0,39.0,1.0,2.0,0.25
oscar-serrano, Óscar Serrano,Levante UD,Spain,30.09.1981,180.0,75.0,Left Midfielder,251.0,84.0,76.0,91.0,17.0,64.0,3.0,3.0,0.125
pallardo, Pallardó,Levante UD,Spain,05.06.1986,173.0,73.0,Defensive Midfielder,158.0,71.0,32.0,55.0,3.0,40.0,3.0,1.0,0.25
parejo_2, Parejo,Valencia CF,Spain,16.04.1989,180.0,74.0,Defensive Midfielder,237.0,105.0,54.0,78.0,23.0,52.0,1.0,0.0,0.375
patrick-helmes,Patrick Helmes,VfL Wolfsburg,Germany,01.03.1984,182.0,81.0,Center Forward,282.0,127.0,69.0,86.0,140.0,21.0,0.0,1.0,0.0
pedro-lopez, Pedro López,Levante UD,Spain,01.11.1983,174.0,72.0,Right Fullback,221.0,78.0,57.0,86.0,5.0,43.0,4.0,3.0,0.25
pedro-rios, Pedro Ríos,Levante UD,Spain,12.12.1981,175.0,72.0,Right Winger,162.0,57.0,41.0,64.0,23.0,30.0,0.0,0.0,0.5
philipp-lahm,Philipp Lahm,Bayern München,Germany,11.11.1983,170.0,66.0,Left Fullback,615.0,397.0,108.0,110.0,20.0,46.0,0.0,0.0,0.25
piscu, Piscu,Wigan Athletic,England,25.02.1987,184.0,77.0,Center Back,59.0,19.0,12.0,28.0,1.0,12.0,0.0,1.0,0.0
rafa_2, Rafa,Getafe CF,Spain,09.04.1985,183.0,72.0,Left Fullback,162.0,52.0,41.0,69.0,4.0,46.0,2.0,1.0,0.375
ramalho_4, Ramalho,Athletic Bilbao,Spain,10.06.1993,181.0,68.0,Center Back,43.0,19.0,12.0,12.0,0.0,2.0,1.0,0.0,0.625
raphael-varane,Raphaël Varane,Real Madrid,Spain,25.04.1993,191.0,78.0,Center Back,106.0,65.0,19.0,22.0,9.0,5.0,0.0,0.0,0.5
raul_10, Raúl,Athletic Bilbao,Spain,13.03.1988,196.0,86.0,Goalkeeper,20.0,5.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0
ricardo-costa, Ricardo Costa,Valencia CF,Spain,16.05.1981,183.0,80.0,Center Back,246.0,102.0,64.0,80.0,21.0,50.0,7.0,4.0,0.25
ruben-garcia_3, Rubén García,Levante UD,Spain,14.07.1993,171.0,72.0,Right Midfielder,81.0,33.0,18.0,30.0,7.0,14.0,0.0,0.0,0.75
san-jose_2, San José,Athletic Bilbao,Spain,30.05.1989,186.0,77.0,Center Back,180.0,84.0,37.0,59.0,20.0,44.0,0.0,1.0,0.0
sascha-riether,Sascha Riether,Fulham FC,England,23.03.1983,174.0,70.0,Defensive Midfielder,417.0,169.0,89.0,159.0,13.0,43.0,0.0,0.0,0.25
sidney-sam,Sidney Sam,Bayer Leverkusen,Germany,31.01.1988,174.0,71.0,Attacking Midfielder,251.0,119.0,64.0,68.0,61.0,29.0,1.0,0.0,0.25
simon-kjaer,Simon Kjær,VfL Wolfsburg,Germany,26.03.1989,190.0,82.0,Center Back,244.0,107.0,63.0,74.0,10.0,44.0,1.0,1.0,0.0
sokratis-papastathopoulos,Sokratis Papastathopoulos,Werder Bremen,Germany,09.06.1988,185.0,82.0,Center Back,260.0,128.0,60.0,72.0,8.0,62.0,7.0,1.0,0.25
susaeta_3, Susaeta,Athletic Bilbao,Spain,14.12.1987,179.0,68.0,Right Winger,293.0,116.0,70.0,107.0,42.0,40.0,2.0,0.0,0.0
tomer-hemed,Tomer Hemed,RCD Mallorca,Spain,02.05.1987,183.0,81.0,Center Forward,112.0,34.0,27.0,51.0,32.0,9.0,0.0,0.0,0.5
toni_12, Toni,Celta Vigo,Spain,04.04.1990,175.0,69.0,Left Midfielder,88.0,34.0,20.0,34.0,5.0,13.0,0.0,0.0,0.25
toquero, Toquero,Athletic Bilbao,Spain,09.08.1984,182.0,79.0,Center Forward,212.0,88.0,48.0,76.0,28.0,32.0,0.0,0.0,0.125
vaclav-pilar,Václav Pila?,VfL Wolfsburg,Germany,13.10.1988,170.0,69.0,Right Winger,92.0,44.0,24.0,24.0,16.0,11.0,0.0,0.0,0.125
valera, Valera,Getafe CF,Spain,21.12.1984,184.0,76.0,Right Fullback,216.0,67.0,54.0,95.0,10.0,45.0,2.0,0.0,0.25
yann-mvila,Yann M'Vila,Stade Rennes,France,26.06.1990,169.0,56.0,Defensive Midfielder,203.0,91.0,52.0,60.0,4.0,29.0,1.0,1.0,0.5
yossi-benayoun,Yossi Benayoun,West Ham United,England,05.05.1980,178.0,70.0,Attacking Midfielder,456.0,201.0,105.0,150.0,88.0,31.0,1.0,0.0,0.25
ze-castro, Zé Castro,Deportivo La Coruña,Spain,13.01.1983,183.0,76.0,Center Back,169.0,77.0,31.0,61.0,3.0,28.0,1.0,1.0,0.25
glenn-loovens,Glenn Loovens,Real Zaragoza,Spain,22.09.1983,190.0,83.0,Center Back,287.0,136.0,62.0,89.0,11.0,51.0,3.0,1.0,0.0
john-ruddy,John Ruddy,Norwich City,England,24.10.1986,193.0,97.0,Goalkeeper,175.0,62.0,55.0,58.0,0.0,5.0,0.0,1.0,0.0
juanma-ortiz, Juanma Ortiz,Granada CF,Spain,01.03.1982,179.0,70.0,Right Midfielder,245.0,85.0,55.0,105.0,19.0,62.0,4.0,1.0,0.25
ricardo-vaz-te, Ricardo Vaz Tê,West Ham United,England,01.10.1986,188.0,79.0,Left Winger,187.0,64.0,46.0,77.0,42.0,13.0,0.0,0.0,0.625
robert-mak,Róbert Mak,1. FC Nürnberg,Germany,08.03.1991,179.0,75.0,Right Winger,109.0,34.0,27.0,48.0,17.0,9.0,0.0,0.0,0.125
teemu-pukki,Teemu Pukki,FC Schalke 04,Germany,29.03.1990,180.0,78.0,Center Forward,162.0,77.0,28.0,57.0,44.0,7.0,0.0,0.0,0.0
jannik-vestergaard,Jannik Vestergaard,1899 Hoffenheim,Germany,03.08.1992,197.0,96.0,Center Back,116.0,46.0,34.0,36.0,10.0,20.0,0.0,0.0,0.0
rui-fonte, Rui Fonte,Espanyol Barcelona,Spain,23.04.1990,181.0,73.0,Center Forward,85.0,26.0,23.0,36.0,8.0,11.0,0.0,0.0,0.5
adam-federici,Adam Federici,Reading FC,England,31.01.1985,188.0,90.0,Goalkeeper,206.0,83.0,54.0,69.0,1.0,4.0,0.0,0.0,0.0
adel-taarabt,Adel Taarabt,Queens Park Rangers,England,24.05.1989,180.0,78.0,Left Midfielder,209.0,67.0,56.0,86.0,41.0,23.0,1.0,0.0,0.25
alex-nimely-tchuimeni,Alex Nimely-Tchuimeni,Manchester City,England,11.05.1991,180.0,72.0,Center Forward,34.0,6.0,15.0,13.0,2.0,3.0,0.0,0.0,0.875
antonio-valencia_2,Antonio Valencia,Manchester United,England,04.08.1985,175.0,70.0,Right Winger,344.0,171.0,68.0,105.0,36.0,48.0,3.0,3.0,0.75
armand-traore,Armand Traoré,Queens Park Rangers,England,08.10.1989,185.0,82.0,Left Fullback,148.0,48.0,40.0,60.0,3.0,10.0,1.0,0.0,0.625
asmir-begovic,Asmir Begovi?,Stoke City,England,20.06.1987,198.0,83.0,Goalkeeper,192.0,68.0,52.0,72.0,1.0,11.0,0.0,1.0,0.125
brad-friedel,Brad Friedel,Tottenham Hotspur,England,18.05.1971,193.0,91.0,Goalkeeper,582.0,247.0,151.0,184.0,1.0,7.0,0.0,1.0,0.25
brad-jones,Brad Jones,Liverpool FC,England,19.03.1982,193.0,79.0,Goalkeeper,124.0,43.0,36.0,45.0,0.0,4.0,0.0,2.0,0.0
branislav-ivanovic,Branislav Ivanovi?,Chelsea FC,England,22.02.1984,182.0,78.0,Center Back,394.0,214.0,76.0,104.0,40.0,66.0,0.0,3.0,0.0
carlo-nash,Carlo Nash,Stoke City,England,13.09.1973,196.0,89.0,Goalkeeper,131.0,57.0,40.0,34.0,0.0,2.0,0.0,0.0,0.375
charles-nzogbia,Charles N'Zogbia,Aston Villa,England,28.05.1986,170.0,70.0,Left Midfielder,315.0,101.0,85.0,129.0,33.0,33.0,0.0,1.0,1.0
dan-gosling,Dan Gosling,Newcastle United,England,02.02.1990,178.0,71.0,Defensive Midfielder,120.0,56.0,24.0,40.0,12.0,12.0,0.0,1.0,0.0
danny-welbeck,Danny Welbeck,Manchester United,England,26.11.1990,185.0,73.0,Center Forward,209.0,115.0,38.0,56.0,51.0,12.0,0.0,0.0,0.875
darron-gibson,Darron Gibson,Everton FC,England,25.10.1987,180.0,83.0,Attacking Midfielder,148.0,83.0,34.0,31.0,14.0,30.0,0.0,1.0,0.375
david-hoilett,David Hoilett,Queens Park Rangers,England,05.06.1990,173.0,70.0,Right Midfielder,197.0,61.0,46.0,90.0,28.0,16.0,0.0,0.0,0.875
didier-digard,Didier Digard,OGC Nice,France,12.07.1986,184.0,81.0,Defensive Midfielder,194.0,67.0,51.0,76.0,5.0,24.0,0.0,2.0,0.0
federico-macheda,Federico Macheda,Manchester United,England,22.08.1991,185.0,72.0,Center Forward,112.0,39.0,21.0,52.0,19.0,11.0,0.0,0.0,0.0
franco-di-santo,Franco Di Santo,Wigan Athletic,England,07.04.1989,194.0,78.0,Center Forward,177.0,52.0,52.0,73.0,21.0,20.0,0.0,1.0,0.25
frazier-campbell,Frazier Campbell,Sunderland AFC,England,13.09.1987,172.0,82.0,Center Forward,194.0,74.0,47.0,73.0,45.0,21.0,1.0,0.0,0.75
garrido_2, Garrido,Norwich City,England,15.03.1985,178.0,75.0,Left Fullback,218.0,84.0,47.0,87.0,4.0,32.0,0.0,0.0,0.375
glenn-whelan,Glenn Whelan,Stoke City,England,13.01.1984,178.0,76.0,Center Midfielder,412.0,156.0,107.0,149.0,23.0,65.0,1.0,1.0,0.0
heinz-mueller,Heinz Müller,1. FSV Mainz 05,Germany,30.05.1978,196.0,94.0,Goalkeeper,180.0,60.0,52.0,68.0,0.0,11.0,0.0,1.0,0.125
jack-rodwell,Jack Rodwell,Manchester City,England,11.03.1991,188.0,70.0,Defensive Midfielder,151.0,73.0,38.0,40.0,11.0,17.0,0.0,1.0,0.5
james-milner,James Milner,Manchester City,England,04.01.1986,170.0,67.0,Right Midfielder,537.0,265.0,121.0,151.0,55.0,60.0,0.0,1.0,0.25
james-tomkins,James Tomkins,West Ham United,England,29.03.1989,191.0,74.0,Center Back,201.0,77.0,45.0,79.0,7.0,19.0,1.0,1.0,0.0
joey-obrien,Joey O'Brien,West Ham United,England,17.02.1986,180.0,69.0,Defensive Midfielder,167.0,58.0,53.0,56.0,3.0,22.0,1.0,0.0,0.0
jose-enrique, José Enrique,Liverpool FC,England,23.01.1986,184.0,82.0,Left Fullback,253.0,113.0,67.0,73.0,4.0,17.0,1.0,0.0,0.0
kieran-richardson,Kieran Richardson,Fulham FC,England,21.10.1984,175.0,69.0,Left Midfielder,299.0,121.0,64.0,114.0,37.0,63.0,1.0,0.0,0.625
leon-andreasen,Leon Andreasen,Hannover 96,Germany,23.04.1983,188.0,81.0,Defensive Midfielder,172.0,84.0,31.0,57.0,22.0,33.0,3.0,2.0,0.125
leon-barnett,Leon Barnett,Norwich City,England,30.11.1985,186.0,71.0,Center Back,256.0,95.0,60.0,101.0,13.0,37.0,3.0,2.0,1.0
lucas-leiva, Lucas Leiva,Liverpool FC,England,09.01.1987,179.0,74.0,Center Midfielder,286.0,159.0,60.0,67.0,11.0,49.0,2.0,2.0,0.25
lukasz-fabianski,?ukasz Fabia?ski,Arsenal FC,England,18.04.1985,190.0,84.0,Goalkeeper,104.0,60.0,15.0,29.0,0.0,1.0,0.0,0.0,0.0
luke-young,Luke Young,Queens Park Rangers,England,19.07.1979,183.0,78.0,Right Fullback,449.0,165.0,113.0,171.0,9.0,67.0,0.0,0.0,0.25
mame-diouf,Mame Diouf,Hannover 96,Germany,16.12.1987,185.0,79.0,Left Winger,169.0,70.0,36.0,63.0,65.0,21.0,1.0,1.0,1.0
marc-wilson,Marc Wilson,Stoke City,England,17.08.1987,188.0,80.0,Center Back,200.0,71.0,48.0,81.0,2.0,34.0,0.0,1.0,0.125
mark-noble,Mark Noble,West Ham United,England,08.05.1987,180.0,70.0,Defensive Midfielder,318.0,129.0,71.0,118.0,37.0,61.0,3.0,0.0,0.125
marouane-fellaini,Marouane Fellaini,Everton FC,England,22.11.1987,194.0,85.0,Defensive Midfielder,324.0,147.0,93.0,84.0,51.0,81.0,4.0,2.0,0.25
matthew-taylor,Matthew Taylor,West Ham United,England,27.11.1981,178.0,73.0,Left Midfielder,435.0,159.0,101.0,175.0,54.0,41.0,0.0,1.0,0.25
maynor-figueroa,Maynor Figueroa,Wigan Athletic,England,02.05.1983,180.0,85.0,Left Fullback,316.0,105.0,78.0,133.0,9.0,48.0,1.0,2.0,0.875
michael-turner,Michael Turner,Norwich City,England,09.11.1983,193.0,79.0,Center Back,283.0,89.0,80.0,114.0,17.0,42.0,1.0,1.0,0.0
nabil-el-zhar,Nabil El Zhar,Levante UD,Spain,27.08.1986,168.0,67.0,Right Winger,160.0,61.0,37.0,62.0,14.0,24.0,0.0,0.0,0.75
paul-scharner,Paul Scharner,Hamburger SV,Germany,11.03.1980,191.0,81.0,Center Back,404.0,133.0,95.0,176.0,31.0,89.0,5.0,1.0,0.25
rafael_5, Rafael,Manchester United,England,09.07.1990,173.0,80.0,Right Fullback,169.0,112.0,26.0,31.0,7.0,33.0,2.0,1.0,0.25
robert-huth,Robert Huth,Stoke City,England,18.08.1984,187.0,80.0,Center Back,333.0,134.0,87.0,112.0,25.0,69.0,1.0,2.0,0.0
rory-delap,Rory Delap,Stoke City,England,06.07.1976,183.0,81.0,Center Midfielder,494.0,171.0,133.0,190.0,26.0,57.0,2.0,4.0,0.125
ross-turnbull,Ross Turnbull,Chelsea FC,England,04.01.1985,193.0,85.0,Goalkeeper,116.0,31.0,31.0,54.0,0.0,5.0,0.0,1.0,0.0
ryan-nelsen,Ryan Nelsen,Queens Park Rangers,England,18.10.1977,188.0,84.0,Center Back,276.0,102.0,73.0,101.0,16.0,29.0,2.0,1.0,0.25
ryan-shawcross,Ryan Shawcross,Stoke City,England,04.10.1987,183.0,76.0,Center Back,286.0,109.0,77.0,100.0,20.0,59.0,2.0,2.0,0.0
